birthYear,birthDate,deathYear,deathCause_label,profession
1779-01-01T00:00:00+02:00,1779-01-01T00:00:00+02:00,1840-01-01T00:00:00+02:00,Enteritis,English botanist
1779-01-01T00:00:00+02:00,1779-05-23,1861-01-01T00:00:00+02:00,Edema,Insurgent and heroine of the Mexican War of Independence
1782-01-01T00:00:00+02:00,1782-04-10,1819-01-01T00:00:00+02:00,Execution by firing squad,Neogranadine
1782-01-01T00:00:00+02:00,1782-03-20,1835-01-01T00:00:00+02:00,Apoplexy,British military officer and orientalist
1783-01-01T00:00:00+02:00,1783-01-01T00:00:00+02:00,1845-01-01T00:00:00+02:00,Murdered: Soul Suspect,Illinois pioneer landowner and businessman
1784-01-01T00:00:00+02:00,1784-06-29,1836-01-01T00:00:00+02:00,Dysentery,American diplomat
1785-01-01T00:00:00+02:00,1785-10-02,1842-01-01T00:00:00+02:00,Pneumonia,Texas politician
1788-01-01T00:00:00+02:00,1788-01-01T00:00:00+02:00,1872-01-01T00:00:00+02:00,other_respiratory_problems,British diving engineer
1788-01-01T00:00:00+02:00,1788-05-11,1868-01-01T00:00:00+02:00,Dyspnea,Prominent New York physician and pioneer in the field of homeopathy.
1789-01-01T00:00:00+02:00,1789-01-01T00:00:00+02:00,1808-01-01T00:00:00+02:00,Murder,American murder victim
1790-01-01T00:00:00+02:00,1790-11-21,1831-01-01T00:00:00+02:00,Duel,U.S. Army officer
1792-01-01T00:00:00+02:00,1792-06-08,1859-01-01T00:00:00+02:00,Tuberculosis,American businessman
1792-01-01T00:00:00+02:00,1792-05-17,1860-01-01T00:00:00+02:00,Breast cancer,Wife of Lord Byron
1793-01-01T00:00:00+02:00,1793-04-02,1860-01-01T00:00:00+02:00,Suicide,Physician scientist
1794-01-01T00:00:00+02:00,1794-01-01T00:00:00+02:00,1840-01-01T00:00:00+02:00,Smallpox,Chumash revolutionary carpenter
1795-01-01T00:00:00+02:00,1795-06-13,1842-01-01T00:00:00+02:00,Angina pectoris,schoolmaster
1795-01-01T00:00:00+02:00,1795-07-27,1862-01-01T00:00:00+02:00,Systemic lupus erythematosus,Australian politician
1795-01-01T00:00:00+02:00,1795-12-21,1871-01-01T00:00:00+02:00,Yellow fever,Argentine physician naturalist and politician
1796-01-01T00:00:00+02:00,1796-05-04,1859-01-01T00:00:00+02:00,Stroke,American historian and Hispanist
1797-01-01T00:00:00+02:00,1797-01-01T00:00:00+02:00,1859-01-01T00:00:00+02:00,Angina pectoris,Irish obstetrician
1798-01-01T00:00:00+02:00,1798-10-11,1875-01-01T00:00:00+02:00,Pneumonia,United States historian and antiquarian
1800-01-01T00:00:00+02:00,1800-05-09,1859-01-01T00:00:00+02:00,accidents_murder_and_war,American revolutionary abolitionist
1801-01-01T00:00:00+02:00,1801-01-01T00:00:00+02:00,1829-01-01T00:00:00+02:00,Tuberculosis,Canadian artist
1801-01-01T00:00:00+02:00,1801-07-29,1853-01-01T00:00:00+02:00,Cholera,British cartographer printer and publisher
1802-01-01T00:00:00+02:00,1802-01-01T00:00:00+02:00,1831-01-01T00:00:00+02:00,Duel,American politician
1802-01-01T00:00:00+02:00,1802-12-18,1870-01-01T00:00:00+02:00,Influenza,American newspaper editor
1804-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,1885-01-01T00:00:00+02:00,Apoplexy,Founder of the Empire Club and ward boss of New York's Sixth Ward during the 1840s and 1850s.
1804-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,1884-01-01T00:00:00+02:00,natural_death,NYPD police captain who participated in the Draft Riot of 1863.
1804-01-01T00:00:00+02:00,1804-10-03,1869-01-01T00:00:00+02:00,Aneurysm,French spiritual writer
1805-01-01T00:00:00+02:00,1805-03-26,1973-01-01T00:00:00+02:00,Pneumonia,Disputed claimant to longevity record
1805-01-01T00:00:00+02:00,1805-01-01T00:00:00+02:00,1881-01-01T00:00:00+02:00,Pneumonia,Prominent New York contractor and bondsman during the mid-to late 19th century; involved in a dispute with Daniel D. Conover over the position of NYC street commissioner resulting in the Police Riot of 1857.
1805-01-01T00:00:00+02:00,1805-09-04,1883-01-01T00:00:00+02:00,cardiovascular_problems,American politician
1806-01-01T00:00:00+02:00,1806-04-17,1858-01-01T00:00:00+02:00,Hanging,Assamese nobleman
1806-01-01T00:00:00+02:00,1806-09-28,1834-01-01T00:00:00+02:00,Tuberculosis,Charrúa Indian who survived the massacre of Salsipuedes only to die in France
1806-01-01T00:00:00+02:00,{1806-02-11|1806-07-05},1839-01-01T00:00:00+02:00,Liver tumor,Aristocrat
1807-01-01T00:00:00+02:00,1807-11-05,1888-01-01T00:00:00+02:00,Pneumonia,First public school teacher in Chicago Illinois
1807-01-01T00:00:00+02:00,1807-01-01T00:00:00+02:00,1883-01-01T00:00:00+02:00,Pneumonia,NYPD police captain who participated in the New York Draft Riots.
1807-01-01T00:00:00+02:00,{1807-01-01T00:00:00+02:00|1807-02-15},1855-01-01T00:00:00+02:00,Stroke,Serbian revolutionary
1807-01-01T00:00:00+02:00,1807-09-30,1873-01-01T00:00:00+02:00,cardiovascular_problems,NYPD police captain who organized the defense of several key buildings in Manhattan including the State Armory and the Union Steam Works.
1807-01-01T00:00:00+02:00,{1807-01-01T00:00:00+02:00|1807-01-03},1896-01-01T00:00:00+02:00,natural_death,businessman
1807-01-01T00:00:00+02:00,1807-04-20,1841-01-01T00:00:00+02:00,Tuberculosis,author
1809-01-01T00:00:00+02:00,1809-09-05,1866-01-01T00:00:00+02:00,cardiovascular_problems,German actor
1809-01-01T00:00:00+02:00,{1809-01-01T00:00:00+02:00|1809-12-13},1855-01-01T00:00:00+02:00,Yellow fever,American planter
1809-01-01T00:00:00+02:00,1809-08-22,1867-01-01T00:00:00+02:00,Pneumonia,Journalist pioneer Texas sheepman
1811-01-01T00:00:00+02:00,1811-01-01T00:00:00+02:00,1880-01-01T00:00:00+02:00,Typhoid fever,Founder of the Church of the Messiah
1811-01-01T00:00:00+02:00,1811-01-01T00:00:00+02:00,1885-01-01T00:00:00+02:00,Edema,First police chief of the Brooklyn Municipal Police from 1851 to 1865 NYPD police inspector until 1870 and police superintendent from 1873 to 1875; defended both the New York Tribune and the Brooklyn Eagle during the Draft Riot of 1863.
1812-01-01T00:00:00+02:00,1812-11-07,1848-01-01T00:00:00+02:00,Execution by firing squad,Sri Lankan activist
1813-01-01T00:00:00+02:00,1813-07-26,1848-01-01T00:00:00+02:00,Cholera,American physician
1813-01-01T00:00:00+02:00,1813-03-19,1873-01-01T00:00:00+02:00,{Malaria|Dysentery},Scottish missionary and explorer
1813-01-01T00:00:00+02:00,1813-03-19,1873-01-01T00:00:00+02:00,{Malaria|Dysentery},Scottish missionary and explorer
1815-01-01T00:00:00+02:00,1815-01-27,1891-01-01T00:00:00+02:00,Stroke,American businessperson
1816-01-01T00:00:00+02:00,1816-11-06,1901-01-01T00:00:00+02:00,Stroke,American businessman
1816-01-01T00:00:00+02:00,1816-12-16,1901-01-01T00:00:00+02:00,natural_death,NYPD police inspector who participated in the Draft Riot of 1863; also involved in the Cunningham-Burdell bogus baby case and Alexander T. Stewart bodysnatching case.
1816-01-01T00:00:00+02:00,1816-05-16,1877-01-01T00:00:00+02:00,Pneumonia,NYPD police inspector and participant in the Police Riot of 1857 and New York Draft Riots of 1863.
{1815-01-01T00:00:00+02:00|1816-01-01T00:00:00+02:00},1816-01-01T00:00:00+02:00,1866-01-01T00:00:00+02:00,cardiovascular_problems,NYPD police inspector who commanded police during the New York Draft Riots.
1817-01-01T00:00:00+02:00,1817-07-14,1869-01-01T00:00:00+02:00,Tuberculosis,American businessman
1817-01-01T00:00:00+02:00,1817-02-13,1875-01-01T00:00:00+02:00,cardiovascular_problems,Daughter of John C Calhoun
1818-01-01T00:00:00+02:00,1818-01-01T00:00:00+02:00,1890-01-01T00:00:00+02:00,Apoplexy,NYPD police captain who led officers during the New York Draft Riot and defended the New York waterfront and the New York Tribune.
1818-01-01T00:00:00+02:00,1818-10-25,1900-01-01T00:00:00+02:00,natural_death,American civil war spy
1818-01-01T00:00:00+02:00,1818-09-11,1891-01-01T00:00:00+02:00,Bronchopneumonia,Physician surgeon teacher of anatomy
1819-01-01T00:00:00+02:00,1819-08-16,1853-01-01T00:00:00+02:00,Tuberculosis,Ottoman concubine
1819-01-01T00:00:00+02:00,1819-12-15,1882-01-01T00:00:00+02:00,Cirrhosis,American physician and chemist
1819-01-01T00:00:00+02:00,1819-04-11,1867-01-01T00:00:00+02:00,Yellow fever,First Lady of the Republic/State of Texas
1819-01-01T00:00:00+02:00,1819-12-10,1893-01-01T00:00:00+02:00,Pneumonia,British engineer
1819-01-01T00:00:00+02:00,1819-11-22,1901-01-01T00:00:00+02:00,Embolism,Chaplain of the United States Senate
1819-01-01T00:00:00+02:00,1819-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,natural_death,Founder of the New York Irish enclave of Corcoran's Roost and Kip's Bay.
1819-01-01T00:00:00+02:00,1819-09-13,1896-01-01T00:00:00+02:00,Stroke,German musician pianist composer
{1820-01-01T00:00:00+02:00|1822-01-01T00:00:00+02:00},1820-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,Pneumonia,African-American abolitionist and Union spy
1820-01-01T00:00:00+02:00,1820-02-17,1903-01-01T00:00:00+02:00,Bright's disease,NYPD police inspector responsible for the breakup of the Slaughter House Gang and the Dutch Mob; captured murder Daniel McFarland in 1869.
1821-01-01T00:00:00+02:00,1821-11-30,1880-01-01T00:00:00+02:00,Stomach cancer,Police captain who co-led a police squad with drillmaster Theron S. Copeland during the New York Draft Riots; was also the longtime head of the Tombs Police Court.
1821-01-01T00:00:00+02:00,1821-01-24,1871-01-01T00:00:00+02:00,Typhoid fever,Cartographer
1821-01-01T00:00:00+02:00,1821-02-21,1871-01-01T00:00:00+02:00,Typhoid fever,American businessman
1822-01-01T00:00:00+02:00,1822-09-09,1876-01-01T00:00:00+02:00,Cardiovascular disease,American politician
1823-01-01T00:00:00+02:00,1823-01-01T00:00:00+02:00,1885-01-01T00:00:00+02:00,Apoplexy,NYPD police inspector who helped defend the New York Tribune during the New York Draft Riots.
1823-01-01T00:00:00+02:00,{1823-01-01T00:00:00+02:00|1823-01-15},1858-01-01T00:00:00+02:00,Cholera,Irish farmer and Kennedy ancestor
1823-01-01T00:00:00+02:00,1823-08-02,1892-01-01T00:00:00+02:00,Smallpox,British historian artist and politician
1823-01-01T00:00:00+02:00,1823-05-15,1892-01-01T00:00:00+02:00,Pneumonia,Last Chief Engineer of the New York City Fire Department.
1824-01-01T00:00:00+02:00,1824-11-03,1859-01-01T00:00:00+02:00,Pneumonia,American businessman
1824-01-01T00:00:00+02:00,1824-04-26,1907-01-01T00:00:00+02:00,accidents_murder_and_war,Developed the first widely used system of shorthand during the mid-19th century and is credited for introducing stenography in the U.S.; headed public crusade against New York underworld figure John Allen in 1868.
1825-01-01T00:00:00+02:00,1825-09-25,1910-01-01T00:00:00+02:00,cardiovascular_problems,American banker
1825-01-01T00:00:00+02:00,1825-01-01T00:00:00+02:00,1845-01-01T00:00:00+02:00,Tuberculosis,Concubine of the Ottoman Sultan
1826-01-01T00:00:00+02:00,1826-03-04,1863-01-01T00:00:00+02:00,Yellow fever,American surveyor
1826-01-01T00:00:00+02:00,1826-01-01T00:00:00+02:00,1851-01-01T00:00:00+02:00,Tuberculosis,Wife of Ottoman Sultan Abdülmecid I
{1826-01-01T00:00:00+02:00|1827-01-01T00:00:00+02:00},1826-01-01,1896-01-01T00:00:00+02:00,Disease,British boxer
1826-01-01T00:00:00+02:00,1826-07-20,1873-01-01T00:00:00+02:00,Tuberculosis,Actress and manager
1826-01-01T00:00:00+02:00,1826-12-22,1897-01-01T00:00:00+02:00,Stroke,Merchant investor
{1827-01-01T00:00:00+02:00|1832-01-01T00:00:00+02:00},{1827-01-01T00:00:00+02:00|1832-03-13},1877-01-01T00:00:00+02:00,Jaundice,Longtime reporter for the Brooklyn Eagle; he and editor Joseph Howard Jr. organized the Great Civil War Gold Hoax.
1827-01-01T00:00:00+02:00,1827-01-01T00:00:00+02:00,1883-01-01T00:00:00+02:00,Tuberculosis,NYPD police sergeant who defended the State Armory during the New York Draft Riots; founding member of the Steamboat Squad.
1828-01-01T00:00:00+02:00,1828-04-13,1906-01-01T00:00:00+02:00,natural_death,British feminist
1828-01-01T00:00:00+02:00,1828-10-28,1880-01-01T00:00:00+02:00,Smallpox,American pioneer and frontier physician
1829-01-01T00:00:00+02:00,1829-12-14,{1863-01-01T00:00:00+02:00|1916-01-01T00:00:00+02:00},Lawrence Massacre,Judge Lawyer
1829-01-01T00:00:00+02:00,1829-07-12,1892-01-01T00:00:00+02:00,Aneurysm,American businessman yachtsman and racehorse owner/breeder
1830-01-01T00:00:00+02:00,1830-11-20,1900-01-01T00:00:00+02:00,Heart failure,Served as New York City postmaster from 1869-1872; an officer in the Irish Rifles and Hardtack regiment during the American Civil War.
1830-01-01T00:00:00+02:00,1830-05-19,1890-01-01T00:00:00+02:00,pneumonia,Police officer
1830-01-01T00:00:00+02:00,1830-05-19,1890-01-01T00:00:00+02:00,accidents_murder_and_war,Police officer
1830-01-01T00:00:00+02:00,1830-07-22,1868-01-01T00:00:00+02:00,Childbirth,American actress
1830-01-01T00:00:00+02:00,1830-08-26,1899-01-01T00:00:00+02:00,Apoplexy,United States general
1830-01-01T00:00:00+02:00,1830-01-01T00:00:00+02:00,1908-01-01T00:00:00+02:00,Apoplexy,U.S. Army surgeon Professor of medical jurisprudence
1831-01-01T00:00:00+02:00,1831-02-23,1870-01-01T00:00:00+02:00,Pneumonia,New York gang leader and underworld figure; he and Tommy Hadden co-led the Dead Rabbits during the 1850s.
1831-01-01T00:00:00+02:00,1831-05-01,1880-01-01T00:00:00+02:00,Breast cancer,American Mormon leader
1831-01-01T00:00:00+02:00,1831-01-02,1870-01-01T00:00:00+02:00,Suicide,British scientist
1831-01-01T00:00:00+02:00,1831-11-28,1902-01-01T00:00:00+02:00,Heart failure,American prospectors
1832-01-01T00:00:00+02:00,1832-01-07,1902-01-01T00:00:00+02:00,Encephalitis,Prominent Presbyterian preacher clergyman and reformer during the mid-to late 19th century.
1832-01-01T00:00:00+02:00,1832-03-25,1864-01-01T00:00:00+02:00,Gallows,National Hero of Sri Lanka
1832-01-01T00:00:00+02:00,1832-04-08,1895-01-01T00:00:00+02:00,Tuberculosis,American politician
1832-01-01T00:00:00+02:00,1832-01-01T00:00:00+02:00,1898-01-01T00:00:00+02:00,cardiovascular_problems,American banker
1833-01-01T00:00:00+02:00,1833-06-03,1908-01-01T00:00:00+02:00,Renal failure,City editor of the Brooklyn Eagle; responsible for publishing a hoax during the American Civil War.
1833-01-01T00:00:00+02:00,{1833-01-01T00:00:00+02:00|1833-07-04},1898-01-01T00:00:00+02:00,Yellow fever,American engineer
1834-01-01T00:00:00+02:00,1834-01-01T00:00:00+02:00,1907-01-01T00:00:00+02:00,Pneumonia,Irish-Canadian businessman
1834-01-01T00:00:00+02:00,1834-11-21,1916-01-01T00:00:00+02:00,Stroke,American business woman
1835-01-01T00:00:00+02:00,1835-07-08,1884-01-01T00:00:00+02:00,Typhoid fever,Socialite and Mother of President Theodore Roosevelt
1835-01-01T00:00:00+02:00,1835-08-11,1891-01-01T00:00:00+02:00,Laudanum,American businessman
1835-01-01T00:00:00+02:00,1835-11-25,1919-01-01T00:00:00+02:00,Bronchopneumonia,American businessman and philanthropist
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,Stroke,American businessman
1836-01-01T00:00:00+02:00,1836-06-12,1909-01-01T00:00:00+02:00,Diabetes mellitus,Japanese politician
1836-01-01T00:00:00+02:00,1836-06-23,1898-01-01T00:00:00+02:00,Colitis,English businessman and politician
1836-01-01T00:00:00+02:00,1836-02-21,1889-01-01T00:00:00+02:00,Stroke,Businessperson
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1905-01-01T00:00:00+02:00,cardiovascular_problems,New York burglar bank robber and underworld figure; he was a member of the Leslie Gang.
1836-01-01T00:00:00+02:00,1836-06-10,1900-01-01T00:00:00+02:00,cardiovascular_problems,American surgeon
1837-01-01T00:00:00+02:00,1837-07-18,1873-01-01T00:00:00+02:00,Hanging,Bulgarian revolutionary
1837-01-01T00:00:00+02:00,1837-06-07,1903-01-01T00:00:00+02:00,Pleural effusion,father of Adolf Hitler
1837-01-01T00:00:00+02:00,1837-05-27,1876-01-01T00:00:00+02:00,Jack McCall,American folk hero and lawman
1838-01-01T00:00:00+02:00,1838-01-04,1883-01-01T00:00:00+02:00,Stroke,American midget circus performer
1838-01-01T00:00:00+02:00,1838-02-06,1905-01-01T00:00:00+02:00,Stroke,Actor
1838-01-01T00:00:00+02:00,1838-07-08,1898-01-01T00:00:00+02:00,Cancer,Union Army officer businessman philanthropist
{1838-01-01T00:00:00+02:00|1839-01-01T00:00:00+02:00},{1838-02-21|1839-01-01T00:00:00+02:00},1909-01-01T00:00:00+02:00,Heart failure,NYPD police commissioner Collector for the Port of New York and Republican candidate for the Mayor of New York in 1888.
1839-01-01T00:00:00+02:00,1839-01-01T00:00:00+02:00,1865-01-01T00:00:00+02:00,Murdered: Soul Suspect,English-born saloon keeper thief and underworld figure in New York City during the 1850s and early 1860s; his murder by Barney Friery was one of the highly publicized trials in the city prior to the end of the American Civil War.
1839-01-01T00:00:00+02:00,1839-09-09,1915-01-01T00:00:00+02:00,cardiovascular_problems,American philanthropist schoolteacher
1839-01-01T00:00:00+02:00,1839-07-09,1917-01-01T00:00:00+02:00,natural_death,NYPD police inspector
1839-01-01T00:00:00+02:00,1839-01-04,1860-01-01T00:00:00+02:00,Tuberculosis,Brazilian poet novelist and playwright
1841-01-01T00:00:00+02:00,1841-12-07,1910-01-01T00:00:00+02:00,other_respiratory_problems,Industrialist
1841-01-01T00:00:00+02:00,1841-06-14,1910-01-01T00:00:00+02:00,Cardiovascular disease,American judge
1841-01-01T00:00:00+02:00,1841-10-11,1909-01-01T00:00:00+02:00,Pneumonia,Physiologist
1841-01-01T00:00:00+02:00,1841-10-21,1896-01-01T00:00:00+02:00,Hanging,American rancher hanged for murder of three school board members in Park County Colorado
1841-01-01T00:00:00+02:00,1841-01-20,1894-01-01T00:00:00+02:00,New York City,American philanthropist
1841-01-01T00:00:00+02:00,1841-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,Cardiovascular disease,American journalist
1841-01-01T00:00:00+02:00,1841-11-18,1888-01-01T00:00:00+02:00,cardiovascular_problems,NYPD police captain responsible for the capture of a number of high-profile criminals most notably procuress Jane the Grabber in 1875.
1841-01-01T00:00:00+02:00,1841-08-09,1928-01-01T00:00:00+02:00,Peptic ulcer,Australian educator journalist and writer
1842-01-01T00:00:00+02:00,1842-01-01T00:00:00+02:00,1920-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1842-01-01T00:00:00+02:00,1842-01-01T00:00:00+02:00,1893-01-01T00:00:00+02:00,Rheumatism,NYPD police captain who fought against Tub of Blood Bunch the Battle Row and Hell's Kitchen Gangs during the 1860s 70s and 80s.
1842-01-01T00:00:00+02:00,1842-12-03,1919-01-01T00:00:00+02:00,1918 flu pandemic,Socialite Philanthropist
1842-01-01T00:00:00+02:00,1842-11-06,1898-01-01T00:00:00+02:00,Macola,Politician
1843-01-01T00:00:00+02:00,1843-08-15,1912-01-01T00:00:00+02:00,Pneumonia,American politician
1843-01-01T00:00:00+02:00,1843-09-13,1885-01-01T00:00:00+02:00,Suicide,American socialite
1843-01-01T00:00:00+02:00,1843-03-31,1889-01-01T00:00:00+02:00,Suicide,Anti-Semite
1843-01-01T00:00:00+02:00,1843-06-19,1929-01-01T00:00:00+02:00,Pneumonia,Philanthropist
1843-01-01T00:00:00+02:00,1843-01-01T00:00:00+02:00,1880-01-01T00:00:00+02:00,Pneumonia,Longtime political organizer and fixer for Tammany Hall.
1844-01-01T00:00:00+02:00,1844-01-01T00:00:00+02:00,1878-01-01T00:00:00+02:00,Gunshot,Kansas saloon operator
1844-01-01T00:00:00+02:00,1844-10-11,1919-01-01T00:00:00+02:00,Pneumonia,American businessman (food processing)
1844-01-01T00:00:00+02:00,1844-01-01T00:00:00+02:00,1899-01-01T00:00:00+02:00,Pneumonia,American prostitute
{1843-01-01T00:00:00+02:00|1844-01-01T00:00:00+02:00},1844-02-01,1866-01-01T00:00:00+02:00,Hanging,American murderer
1844-01-01T00:00:00+02:00,1844-01-01T00:00:00+02:00,1929-01-01T00:00:00+02:00,Pneumonia,Physician
1844-01-01T00:00:00+02:00,1844-01-13,1898-01-01T00:00:00+02:00,Bright's disease,American geologist
{1844-01-01T00:00:00+02:00|1848-01-01T00:00:00+02:00},{1844-04-01|1848-04-01},1881-01-01T00:00:00+02:00,Bright's disease,Sideshow performer
1844-01-01T00:00:00+02:00,{1844-10-23|1844-10-24},1912-01-01T00:00:00+02:00,Atherosclerosis,first sheriff of Cochise County Arizona Territory
{1845-01-01T00:00:00+02:00|1846-01-01T00:00:00+02:00},{1845-06-22|1846-06-22},1868-01-01T00:00:00+02:00,Hanging,Confederate Army soldier
1845-01-01T00:00:00+02:00,1845-01-01T00:00:00+02:00,1904-01-01T00:00:00+02:00,Tuberculosis,Burglar and gang leader in New York City during the late 19th century; co-founder of the Dutch Mob.
1845-01-01T00:00:00+02:00,{1845-01-01T00:00:00+02:00|1845-03-08},1905-01-01T00:00:00+02:00,Urinary tract infection,American businessman
1845-01-01T00:00:00+02:00,1845-11-12,1922-01-01T00:00:00+02:00,Cancer,British entomologist
1845-01-01T00:00:00+02:00,1845-03-12,1914-01-01T00:00:00+02:00,Diabetes mellitus,Surgeon-General of New York
1846-01-01T00:00:00+02:00,1846-03-22,1891-01-01T00:00:00+02:00,Opioid overdose,American town marshal
1846-01-01T00:00:00+02:00,1846-09-14,1922-01-01T00:00:00+02:00,Stroke,American inventor
1847-01-01T00:00:00+02:00,1847-07-04,1906-01-01T00:00:00+02:00,Erysipelas,Circus proprietor
1847-01-01T00:00:00+02:00,1847-03-03,1922-01-01T00:00:00+02:00,Diabetes mellitus,Telephone inventor
1847-01-01T00:00:00+02:00,1847-10-10,1902-01-01T00:00:00+02:00,cardiovascular_problems,American philanthropist
1847-01-01T00:00:00+02:00,1847-02-04,1929-01-01T00:00:00+02:00,Suicide,American businessman
1848-01-01T00:00:00+02:00,1848-09-08,1897-01-01T00:00:00+02:00,Suicide,German chemist
1848-01-01T00:00:00+02:00,1848-01-01T00:00:00+02:00,1930-01-01T00:00:00+02:00,Pneumonia,Computer industrialist
1849-01-01T00:00:00+02:00,1849-07-23,1919-01-01T00:00:00+02:00,Cancer,Lawman
1849-01-01T00:00:00+02:00,1849-06-01,1918-01-01T00:00:00+02:00,Traffic collision,American businessman
1849-01-01T00:00:00+02:00,1849-05-27,1938-01-01T00:00:00+02:00,cardiovascular_problems,German-American businessperson
1849-01-01T00:00:00+02:00,1849-11-13,1920-01-01T00:00:00+02:00,Apoplexy,American rower and rowing coach
1850-01-01T00:00:00+02:00,{1850-01-03|1850-01-06},1912-01-01T00:00:00+02:00,Bright's disease,Confederate Army soldier Old West lawman
1850-01-01T00:00:00+02:00,1850-06-04,1879-01-01T00:00:00+02:00,Pneumonia,American publisher
1850-01-01T00:00:00+02:00,{1850-01-01T00:00:00+02:00|1850-06-05},1936-01-01T00:00:00+02:00,Cerebral hemorrhage,American historian
1850-01-01T00:00:00+02:00,1850-09-23,1914-01-01T00:00:00+02:00,cardiovascular_problems,Businessperson
